Class,Followers,Friends,Statuses,Favories,Lists
INFLUENCER,17694,485,5793,156,129
RETWEETER,4074,3473,71206,76912,48
RETWEETER,692,617,61395,35384,28
RETWEETER,57,135,897,1350,1
RETWEETER,598,841,35591,34109,20
SUPER USER,202597,3790,105335,6083,927
RETWEETER,358,556,3320,2719,1
BOT,189,128,3196,24573,4
ACTIVE,3350,2644,85141,28760,39
UNKNOWN,792,481,58211,10200,21
RETWEETER,1635,2162,120196,137197,57
RETWEETER,379,392,16938,27074,0
ACTIVE,2455,2993,35380,39,15
ACTIVE,4913,1170,50383,18566,76
RETWEETER,362,218,21709,45496,3
BOT,1778,1074,146690,105940,37
BOT,47,65,15,5158,0
BOT,124,44,1429,12129,0
BOT,27,51,273,1032,0
RETWEETER,998,1571,31737,27711,17
UNKNOWN,1259,1072,55038,18058,71
BOT,383,31,26663,69145,5
RETWEETER,574,507,5287,133686,6
RETWEETER,128,19,211,25646,0
BOT,92,157,12,3796,0
BOT,108,90,32,25568,0
NORMAL,2358,2276,25934,11628,91
BOT,164,319,107,3936,0
BOT,72,43,19,8119,0
BOT,716,1708,14690,13602,3
RETWEETER,56,131,562,49,0
RETWEETER,1673,1260,29907,33062,24
RETWEETER,2191,1670,65631,46036,20
NEW,2,25,30,2,0
ACTIVE,23530,3239,8555,198,280
ACTIVE,2900,1943,36817,34304,28
ACTIVE,16991,3759,227523,102839,256
RETWEETER,2059,2858,28172,32056,83
RETWEETER,1295,2607,62406,26997,170
ACTIVE,5347,5856,81148,43523,109
BOT,231,83,32942,1957,16
BOT,221,100,21648,23940,1
UNKNOWN,1691,1793,29799,16767,35
BOT,607,103,63265,106216,4
BOT,1751,1860,59013,14391,67
NORMAL,646,155,8526,30513,7
BOT,4799,4577,100310,47376,85
RETWEETER,4190,3490,87271,4291,182
RETWEETER,10613,11559,133597,168361,289
RETWEETER,1320,578,54317,42877,73
RETWEETER,576,359,30747,56419,117
BOT,705,509,45260,3478,268
RETWEETER,219,95,2771,4645,1
NORMAL,3885,998,5285,5637,48
NORMAL,1063,505,2335,999,4
NORMAL,87,551,2976,1885,11
RETWEETER,1539,452,243427,758615,343
RETWEETER,2525,2499,28285,18952,276
ACTIVE,3277,542,9368,18228,96
UNKNOWN,1186,978,69974,3204,34
ACTIVE,804,1044,10052,596,119
BOT,0,8,0,10,0
NEW,26,1047,14,48,0
RETWEETER,6022,5158,58740,68040,62
NORMAL,2171,449,961,1762,22
NORMAL,3121,246,730,2077,55
BOT,53,21,15,4738,0
UNKNOWN,5,289,0,18,0
SUPER USER,172295,3722,95235,4375,911
BOT,1,8,6,381,0
BOT,3,3,0,1,0
RETWEETER,680,177,1055,21072,7
RETWEETER,2086,2749,6816,15691,11
RETWEETER,910,1232,17304,36750,27
ACTIVE,3459,3018,57105,61653,45
UNKNOWN,14,67,34,221,0
ACTIVE,2511,2442,12792,36796,16
BOT,135,82,0,35780,0
ACTIVE,680,177,1055,24072,7
RETWEETER,27,22,623,1755,0
ACTIVE,335,192,11151,1843,14
ACTIVE,405,820,606,8760,21
ACTIVE,107,35,515,7476,0
UNKNOWN,94,184,62,2213,0
RETWEETER,771,1238,341,18859,1
NORMAL,359,429,1890,106,23
RETWEETER,109,141,2562,12138,2
NORMAL,81,125,873,199,0
RETWEETER,1116,1055,39876,19802,29
RETWEETER,565,2124,29958,5382,31
ACTIVE,2834,2398,55269,49457,90
SUPER USER,46757,973,34367,502,851
INFLUENCER,16412,3825,210158,87563,262
RETWEETER,74,25,435,31974,0
RETWEETER,171,308,1670,2505,0
ACTIVE,4015,3689,68924,9696,47
INFLUENCER,69064,53284,55169,14562,1324
INFLUENCER,22453,10030,79748,27770,382
RETWEETER,35,1412,981,815,32
NORMAL,555,864,2994,594,47
NORMAL,886,577,1074,293,95
RETWEETER,45,1364,967,835,20
ACTIVE,1116,356,50535,4076,106
INFLUENCER,18790,2875,148866,33038,281
NORMAL,858,826,15729,1934,18
ACTIVE,3362,1931,73378,27822,49
ACTIVE,5389,5077,76004,27977,41
ACTIVE,2931,1150,94469,25012,10
INFLUENCER,23272,3035,46790,27220,354
RETWEETER,945,4948,4894,2096,27
RETWEETER,670,1073,29580,4789,46
RETWEETER,702,681,10725,3210,8
NORMAL,1324,2858,23458,405,11
NORMAL,1128,1776,2823,11023,7
NORMAL,2201,2086,43424,366,43
ACTIVE,5872,3394,155977,131679,136
RETWEETER,131,211,6692,1448,6
ACTIVE,2759,2450,43610,36165,19
NORMAL,444,981,3015,2386,5
RETWEETER,309,616,1394,24079,3
RETWEETER,661,618,47771,21826,28
RETWEETER,98,41,236,8819,0
RETWEETER,2648,1113,76877,3139,28
RETWEETER,1444,928,51118,192122,11
BOT,12,40,14,65,0
NORMAL,12,135,1186,2808,0
NORMAL,21,113,207,142,0
NORMAL,24,134,517,494,6
BOT,28,52,10,4,0
BOT,32,158,1562,415,4
UNKNOWN,35,2,147,65,10
NORMAL,39,43,1064,1276,0
BOT,40,65,373,2005,0
NORMAL,41,129,479,1187,1
UNKNOWN,53,88,407,566,1
UNKNOWN,71,221,2606,542,2
BOT,75,26,435,32025,0
BOT,77,454,332,127,1
NORMAL,78,190,393,557,0
BOT,79,164,2182,1478,0
BOT,88,58,688,1239,0
NORMAL,90,101,1296,5881,0
NORMAL,97,120,9577,1931,17
UNKNOWN,106,271,4987,19464,15
BOT,108,307,596,943,0
BOT,109,57,20992,4682,6
BOT,110,215,3450,1814,4
BOT,115,221,4404,4300,3
BOT,138,345,1037,3692,2
RETWEETER,140,129,16874,4289,45
NORMAL,140,295,507,2484,0
NORMAL,145,107,526,198,7
RETWEETER,146,228,2164,874,3
BOT,147,60,5605,13303,0
BOT,147,109,12757,96387,7
BOT,148,413,2424,560,3
NORMAL,150,537,1620,222,21
NORMAL,163,280,809,1188,1
RETWEETER,165,235,2457,525,0
RETWEETER,168,217,1143,4172,0
NORMAL,179,309,1740,2632,0
BOT,193,363,466,688,0
ACTIVE,201,258,12739,6081,13
NORMAL,205,296,1854,629,0
ACTIVE,231,512,21545,1625,59
BOT,233,565,14859,20200,0
BOT,236,255,6889,7765,7
NORMAL,241,292,3265,4019,9
BOT,242,202,3073,6168,1
ACTIVE,2184,1553,54302,12484,1
ACTIVE,834,2,8869,10816,5
ACTIVE,1685,1188,19244,7510,42
ACTIVE,2365,1907,42826,16209,60
RETWEETER,1774,382,20268,21703,56
NORMAL,108,42,11284,17058,7
UNKNOWN,263,1159,4741,5270,16
NORMAL,933,392,46099,871,3
NORMAL,28541,22663,4130,84490,388
ACTIVE,921,1196,15957,10763,29
NORMAL,265,963,1244,641,4
NORMAL,1380,1355,4988,2391,98
RETWEETER,312,275,7914,10661,7
NORMAL,658,4999,32516,982,37
NORMAL,144,314,1013,995,0
NORMAL,23,99,1050,24,0
RETWEETER,134,397,22128,2677,41
NORMAL,940,589,6188,3871,89
NORMAL,69,72,239,3218,0
NORMAL,3347,852,10827,5211,82
NORMAL,1801,1555,8623,2265,108
BOT,2,137,169,0,0
NORMAL,511,1208,1969,1841,56
SUPER USER,31779,307,33590,1341,615
NORMAL,92,232,138,14,6
NORMAL,234,460,4406,1338,144
SUPER USER,172514,3741,95479,4404,911
NORMAL,354,1080,15,11,0
ACTIVE,300,140,23977,7240,29
NORMAL,573,193,8685,81268,26
NORMAL,1107,2367,11802,8861,54
NORMAL,1033,2039,1217,648,11
NORMAL,179,610,1020,41,6
ACTIVE,848,1360,14021,2785,30
NORMAL,205,128,3228,4346,13
NORMAL,103,145,254,6901,2
NORMAL,519,544,5880,4381,25
BOT,65,14,723,24905,2
RETWEETER,202,556,3218,31164,1
BOT,314,375,32397,13372,9
UNKNOWN,171,297,3272,2819,0
NORMAL,151,284,579,246,13
ACTIVE,531,551,29343,4100,47
RETWEETER,1366,1128,9911,29402,13
NORMAL,870,1101,1181,309,17
NORMAL,935,4997,978,1090,25
NORMAL,116,549,777,144,8
BOT,175,73,56,1431,16
BOT,30936,7494,176239,42380,706
ACTIVE,2526,1727,17475,17044,42
RETWEETER,219,479,6755,4861,5
BOT,43,91,7435,3913,5
NORMAL,927,528,4567,13,73
NORMAL,2577,2219,1548,1877,8
NORMAL,430,444,1352,49,34
ACTIVE,5215,846,162559,1988,98
NORMAL,276,1020,411,504,39
NORMAL,94,211,825,116,2
NORMAL,318,348,8727,1472,43
NORMAL,3429,631,4940,3347,300
NORMAL,287,929,562,362,18
NORMAL,1719,1552,4699,2524,45
UNKNOWN,3459,284,5265,2026,139
NORMAL,144,53,897,3,8
BOT,942,1231,11866,14018,29
BOT,4487,4994,107735,68796,238
RETWEETER,521,589,8596,1528,28
NORMAL,925,993,5162,377,196
ACTIVE,2122,769,29497,16987,40
BOT,2328,2094,146144,175805,167
NORMAL,111,158,699,838,1
NORMAL,177,335,2085,6712,4
NORMAL,181,129,435,498,6
RETWEETER,5451,4030,19399,27306,54
NORMAL,518,656,1047,210,74
BOT,394,313,74461,35158,91
BOT,124,109,3930,9545,0
SUPER USER,37870,307,3191,672,1070
UNKNOWN,91,391,1983,1762,4
NORMAL,211,663,3484,376,9
UNKNOWN,254,319,2719,2635,8
NORMAL,427,775,7549,3039,26
BOT,434,557,20996,22158,27
ACTIVE,4557,4999,18751,5282,197
RETWEETER,42,446,96,60,0
BOT,627,895,19463,24454,131
BOT,668,1258,3846,4,12
NORMAL,176,142,5584,10914,14
NORMAL,828,2138,1355,1260,38
NORMAL,5855,2166,3867,64,314
BOT,2467,2386,37536,38818,14
RETWEETER,416,31,89630,55122,79
ACTIVE,8039,1527,156020,186228,127
UNKNOWN,3012,271,12492,62787,47
NORMAL,340,417,431,2133,9
SUPER USER,23381,222,1553,60,672
BOT,72,190,5919,14556,4
RETWEETER,168,164,1483,1670,1
NORMAL,219,316,351,110,10
NORMAL,163,271,184,114,4
RETWEETER,933,891,12429,15856,13
NORMAL,264,371,4748,3663,285
NORMAL,730,1242,2691,839,34
BOT,0,41,0,4,0
UNKNOWN,1,67,2,9,0
BOT,0,2,0,30,0
NEW,6,68,49,14,0
BOT,1,429,31,48,0
UNKNOWN,1911,3624,55228,35807,56
UNKNOWN,32,924,40,496,0
BOT,0,0,0,56,0
BOT,0,2,0,20,0
BOT,0,20,0,152,0
BOT,1,39,0,14,0
NEW,2,78,2,5,0
BOT,50,250,443,237,1
BOT,1,97,1,9,0
INFLUENCER,11495,666,21385,4164,671
BOT,0,1,0,105,0
BOT,0,16,1,1,0
ACTIVE,4085,826,744,998,88
UNKNOWN,1914,1568,125254,59954,147
BOT,2111,2193,130526,103761,72
ACTIVE,23874,3054,47789,28096,358
